kd,test_type,run,node_type,active_mean,active_std,c1_acpi_mean,c1_acpi_std,c2_acpi_mean,c2_acpi_std,c3_acpi_mean,c3_acpi_std,poll_mean,poll_std
k0s,idle,run1,worker,100.0,0.0,,,,,,,,
k0s,idle,run1,master,0.3914364379781421,0.16047627851749605,6.86910237773224,16.098042251543642,15.559330109016395,8.631081260107955,77.1753533534153,17.386437439891772,0.00477770806010929,0.014507225176336756
k0s,idle,run2,worker,100.0,0.0,,,,,,,,
k0s,idle,run2,master,0.38699304291666664,0.1445709516289855,6.896739468749999,16.27968323733159,14.916091630000002,7.851861187470822,77.79593235986111,17.056925206929833,0.004243514861111111,0.012527322120994515
k0s,idle,run3,worker,100.0,0.0,,,,,,,,
k0s,idle,run3,master,0.38988233097222225,0.17519414278244347,6.9832685634722225,16.441340355785236,14.449208994166666,8.027313959843,78.17325683805555,17.263194935686048,0.004383306111111111,0.012769540143386717
k0s,idle,run4,worker,100.0,0.0,,,,,,,,
k0s,idle,run4,master,0.3881369911111111,0.15220846287793385,7.553316080138889,18.279347113335987,14.70209676,8.017991932481383,77.35152065125001,19.190540616801034,0.004929476944444444,0.014751908100485512
k0s,idle,run5,worker,100.0,0.0,,,,,,,,
k0s,idle,run5,master,0.39451165319444453,0.16725344193376762,6.843058672222221,16.237102854906006,14.990222275,7.769618161109726,77.76635628527778,17.055825914362753,0.005851122361111112,0.012222906710453443
k0s,cp_heavy_12client,run1,worker,100.0,0.0,,,,,,,,
k0s,cp_heavy_12client,run1,master,1.9432453322139303,0.8760889411466667,4.31497926641791,4.469357015135352,15.735821640796019,7.230458306735287,78.00252831343283,11.438920722621436,0.003425401492537314,0.007423911680277498
k0s,cp_heavy_12client,run2,worker,100.0,0.0,,,,,,,,
k0s,cp_heavy_12client,run2,master,1.9464414349999999,0.8361142160292545,4.429575682564103,4.220706143934464,15.62311689897436,6.955363394403153,77.99697793333333,10.729822435708455,0.003888222692307692,0.008269207721638456
k0s,cp_heavy_12client,run3,worker,100.0,0.0,,,,,,,,
k0s,cp_heavy_12client,run3,master,1.9304827249999998,0.8824270592818246,4.315302074253731,4.499529486310417,15.503572661940298,7.240581884609346,78.2472394743781,11.472649813814778,0.003403127487562189,0.0080776960657827
k0s,cp_heavy_12client,run4,worker,100.0,0.0,,,,,,,,
k0s,cp_heavy_12client,run4,master,1.9583705748737374,0.8882072148392598,4.369100082449495,4.238847085844367,15.622526946969698,7.022449710864907,78.0465584550505,10.877515100363178,0.0034438732323232323,0.0071433392372898296
k0s,cp_heavy_12client,run5,worker,100.0,0.0,,,,,,,,
k0s,cp_heavy_12client,run5,master,1.9597598436868688,0.8686988493018001,4.455134218560606,4.549119745355498,15.778501737373738,7.176922860417835,77.80312865732323,11.47503798936165,0.003475554292929293,0.007969894106605174
k0s,dp_redis_density,run1,master,0.3984281584729981,0.25987851282187596,6.964192213175046,16.558806867887196,14.585740316713222,7.995938019041859,78.04710177090317,17.6468472250928,0.004537595577281192,0.012739576619500028
k0s,dp_redis_density,run2,master,0.3908755131027254,0.3127309476626614,6.98890352379455,17.031822109032884,14.235403846855347,7.704034092998064,78.38002895555555,18.291635184939327,0.004788153249475891,0.013803273467684245
k0s,dp_redis_density,run3,master,0.3809709730083858,0.22317101678966605,6.4698858240041925,15.198378196161759,13.852625556603774,7.810664562290059,79.29218772594339,16.259561901583346,0.00432991892033543,0.012132453751721225
k0s,dp_redis_density,run4,master,0.38846740754716985,0.24236254090913786,6.879301046645702,16.406034304080862,14.050380166561844,7.774769832896046,78.67736143275681,17.493782316665047,0.004489958280922432,0.012741043525055626
k0s,dp_redis_density,run5,master,0.38484127236286925,0.21809303934771448,7.075390454061182,17.077620824589513,14.098136541666666,7.569359363239175,78.43704739098101,18.24074692219437,0.0045843288502109706,0.013026870769412835
