kd,test_type,mean_freq_mhz,min_freq_mhz,std_freq_mhz,freq_cv
k0s,idle,700.684145902547,663.3266,15.698909797030192,0.022405116326427683
k0s,cp_heavy_12client,900.8746073011077,674.7828,211.834388796591,0.23514303442430987
k3s,idle,674.5747861386138,639.5554,28.266456033186145,0.04190262757223461
k3s,cp_heavy_12client,839.4746898484849,649.2,209.61597231844232,0.24969897824587836
k3s,dp_redis_density,1325.4603031932427,651.8126,316.820138451369,0.2390265009733595
k8s,idle,676.3709579470199,651.186,9.21195077698842,0.013619672265274867
k8s,cp_heavy_12client,787.7641535535537,663.665,169.93315180745785,0.21571577107297948
k8s,dp_redis_density,1287.1045269056447,663.2038,341.49698151829483,0.2653218712075351
kubeEdge,idle,708.7752062222222,665.5586,20.514930841891317,0.02894419931988884
kubeEdge,cp_heavy_12client,834.7754569937957,638.897,131.64735890187862,0.1577039164231886
kubeEdge,dp_redis_density,1266.3925913116123,676.2816,338.4703841404427,0.2672712920642456
openYurt,idle,698.3050762222222,669.3562,9.028314215185663,0.012928896728100794
openYurt,cp_heavy_12client,849.9650623004695,682.2316,184.677229041818,0.2172762590287895
openYurt,dp_redis_density,1315.9265432955024,679.8582,323.8547931987984,0.24610400546200858
