kd,test_type,run,mean_freq_mhz,min_freq_mhz,pct_below_threshold,threshold_mhz,n_samples,freq_std_mhz,freq_cv
k0s,idle,run1,700.483537431694,665.5266,100.0,1620.0,61,14.550298255785503,0.02077179188126793
k0s,idle,run2,700.2534933333334,672.8484,100.0,1620.0,60,14.86661303914319,0.021230330417025725
k0s,idle,run3,701.3710752777778,663.9238,100.0,1620.0,60,17.66958861953529,0.025192924604906547
k0s,idle,run4,699.9095986111112,671.1852,100.0,1620.0,60,13.25203565350321,0.018933924723707644
k0s,idle,run5,701.4063683333333,663.3266,100.0,1620.0,60,17.6204418275636,0.025121588030962587
k0s,cp_heavy_12client,run1,886.7227176616915,674.8856,100.0,1620.0,67,199.74556075715944,0.2252627081483749
k0s,cp_heavy_12client,run2,890.6876692307692,674.7828,100.0,1620.0,65,203.94228627684623,0.22897171850709278
k0s,cp_heavy_12client,run3,901.8484263681592,690.3626,100.0,1620.0,67,211.8348678844289,0.23488965738678588
k0s,cp_heavy_12client,run4,909.8323484848485,678.0792,100.0,1620.0,66,210.32188380768562,0.23116553742888615
k0s,cp_heavy_12client,run5,915.327194949495,679.4504,100.0,1620.0,66,230.64922137479758,0.2519855442375708
k3s,idle,run1,672.0699874999999,639.5554,100.0,1620.0,60,18.650763338361408,0.027751221874584023
k3s,idle,run2,674.0777080555556,644.2062,100.0,1620.0,60,16.887477822485366,0.02505271665369113
k3s,idle,run3,673.7556849726776,642.8424,100.0,1620.0,61,15.47394311538913,0.022966697662842928
k3s,idle,run4,679.2212262295081,640.5638,100.0,1620.0,61,52.967431789797516,0.07798259203975448
k3s,idle,run5,673.7001128415301,645.8,100.0,1620.0,61,16.482556402236128,0.024465717146336902
k3s,cp_heavy_12client,run1,831.9125131840794,659.6408,100.0,1620.0,67,201.82247599751602,0.2426006013842206
k3s,cp_heavy_12client,run2,843.4395517948718,649.2,100.0,1620.0,65,212.8606336744552,0.25237212699058226
k3s,cp_heavy_12client,run3,839.0375547979799,651.1304,100.0,1620.0,66,209.038847472256,0.24914122887215406
k3s,cp_heavy_12client,run4,844.1959525252526,650.5422,100.0,1620.0,66,211.32985799844826,0.2503327069577803
k3s,cp_heavy_12client,run5,838.962529040404,654.4604,100.0,1620.0,66,212.76241301581322,0.25360180657790343
k3s,dp_redis_density,run1,1383.991706936416,659.2254,100.0,1620.0,173,237.829879878459,0.17184342845877001
k3s,dp_redis_density,run2,1309.2496635220125,653.2952,100.0,1620.0,159,334.3107923552978,0.25534533379673996
k3s,dp_redis_density,run3,1309.0611871069184,660.8312,100.0,1620.0,159,333.2917160138849,0.2546036192169703
k3s,dp_redis_density,run4,1309.7107287211738,656.7528,100.0,1620.0,159,333.2323877619821,0.25443205163888094
k3s,dp_redis_density,run5,1310.134521174004,651.8126,100.0,1620.0,159,332.47027393797055,0.25376804333042524
k8s,idle,run1,674.0378609289618,652.4974,100.0,1620.0,61,8.26590146631137,0.01226325989302629
k8s,idle,run2,678.12644,654.9026,100.0,1620.0,60,11.128104760083811,0.016410073555137905
k8s,idle,run3,675.8421080555555,651.186,100.0,1620.0,60,9.211208907113694,0.013629232031154405
k8s,idle,run4,676.5174169398906,657.2438,100.0,1620.0,61,8.21907656409038,0.012149098246824079
k8s,idle,run5,677.3674077777778,656.8076,100.0,1620.0,60,8.390148936331723,0.012386407789912825
k8s,cp_heavy_12client,run1,789.3325941919193,665.0322,100.0,1620.0,66,168.2402064914153,0.21314235308330517
k8s,cp_heavy_12client,run2,787.7486739898991,666.3806,100.0,1620.0,66,173.41973935588172,0.22014602509899672
k8s,cp_heavy_12client,run3,785.0067014705883,663.665,100.0,1620.0,68,174.12496232943022,0.2218133450367164
k8s,cp_heavy_12client,run4,789.2863378787878,664.463,100.0,1620.0,66,168.281841453132,0.21320759447755114
k8s,cp_heavy_12client,run5,787.5335139303482,664.9168,100.0,1620.0,67,165.3357541520539,0.20994122945563518
k8s,dp_redis_density,run1,1204.5852564176246,664.876,100.0,1620.0,174,354.6485008343672,0.2944154421157983
k8s,dp_redis_density,run2,1308.9251329140461,663.2788,100.0,1620.0,159,335.4414451218572,0.25627244575483665
k8s,dp_redis_density,run3,1312.5679992616033,663.2038,100.0,1620.0,158,331.58455578691604,0.25262276390514765
k8s,dp_redis_density,run4,1308.7652947589097,668.4038,100.0,1620.0,159,335.06563233962515,0.2560165934116921
k8s,dp_redis_density,run5,1308.623935639413,667.8004,100.0,1620.0,159,334.9281955352335,0.2559392247182019
kubeEdge,idle,run1,708.5360619444444,670.575,100.0,1620.0,60,20.796589387127256,0.02935149035329961
kubeEdge,idle,run2,708.3585280555556,665.5586,100.0,1620.0,60,22.664349282138424,0.03199559034653267
kubeEdge,idle,run3,708.7446597222223,670.1622,100.0,1620.0,60,21.166739593691695,0.02986511334277645
