kd,test_type,idle_irq_rate,loaded_irq_rate,amplification_factor
k0s,idle,1176.0603615620155,1176.0603615620155,1.0
k0s,cp_heavy_12client,1176.0603615620155,8284.279820802256,7.044094071667607
k0s,dp_redis_density,1176.0603615620155,2669.2889448740457,2.269687026377421
k3s,idle,2487.907246520661,2487.907246520661,1.0
k3s,cp_heavy_12client,2487.907246520661,5225.7839199725295,2.1004737725977485
k3s,dp_redis_density,2487.907246520661,2678.726038072205,1.0766985151148236
k8s,idle,1563.5756740325962,1563.5756740325962,1.0
k8s,cp_heavy_12client,1563.5756740325962,3321.2804904852687,2.124157177451732
k8s,dp_redis_density,1563.5756740325962,3237.3008406458252,2.0704471772041244
kubeEdge,idle,2066.468692253519,2066.468692253519,1.0
kubeEdge,cp_heavy_12client,2066.468692253519,5219.853020650247,2.5259773062218085
kubeEdge,dp_redis_density,2066.468692253519,2840.7139880708396,1.3746707117894892
openYurt,idle,1637.156207797639,1637.156207797639,1.0
openYurt,cp_heavy_12client,1637.156207797639,4762.580341656455,2.9090567650006034
openYurt,dp_redis_density,1637.156207797639,3750.9805512815124,2.2911561727683063
