kd,test_type,run,dropped_mean,dropped_max,flow_limit_count_mean,flow_limit_count_max,processed_mean,processed_max,received_rps_mean,received_rps_max,squeezed_mean,squeezed_max
k0s,idle,run1,0.0,0.0,0.0,0.0,35.594773536065574,87.3721086,0.0,0.0,0.0,0.0
k0s,idle,run2,0.0,0.0,0.0,0.0,34.319724135,84.2846114,0.0,0.0,0.0,0.0
k0s,idle,run3,0.0,0.0,0.0,0.0,35.10154092222222,64.151794,0.0,0.0,0.0,0.0
k0s,idle,run4,0.0,0.0,0.0,0.0,34.286375201666665,60.676518,0.0,0.0,0.0,0.0
k0s,idle,run5,0.0,0.0,0.0,0.0,35.157485165,80.187796,0.0,0.0,0.0,0.0
k0s,cp_heavy_12client,run1,0.0,0.0,0.0,0.0,85.03454006666666,473.43438,0.0,0.0,0.0,0.0
k0s,cp_heavy_12client,run2,0.0,0.0,0.0,0.0,87.32572016820512,535.36288,0.0,0.0,0.0,0.0
k0s,cp_heavy_12client,run3,0.0,0.0,0.0,0.0,84.70588484477612,469.6958,0.0,0.0,0.0,0.0
k0s,cp_heavy_12client,run4,0.0,0.0,0.0,0.0,85.41792042222222,508.94296,0.0,0.0,0.0,0.0
k0s,cp_heavy_12client,run5,0.0,0.0,0.0,0.0,86.43608347474748,437.63376,0.0,0.0,0.0,0.0
k0s,dp_redis_density,run1,0.0,0.0,0.0,0.0,25107.24877284674,38286.136,0.0,0.0,0.0,0.0
k0s,dp_redis_density,run2,0.0,0.0,0.0,0.0,27981.12411193522,38157.132,0.0,0.0,0.0,0.0
k0s,dp_redis_density,run3,0.0,0.0,0.0,0.0,27961.8193177195,38252.172,0.0,0.0,0.0,0.0
k0s,dp_redis_density,run4,0.0,0.0,0.0,0.0,27969.48177017778,38205.16,0.0,0.0,0.0,0.0
k0s,dp_redis_density,run5,0.0,0.0,0.0,0.0,28152.556526924265,38234.342,0.0,0.0,0.0,0.0
k3s,idle,run1,0.0,0.0,0.0,0.0,5.778956122777778,12.1999998,0.0,0.0,0.0,0.0
k3s,idle,run2,0.0,0.0,0.0,0.0,5.633449244444444,14.8000008,0.0,0.0,0.0,0.0
k3s,idle,run3,0.0,0.0,0.0,0.0,6.5729585601092895,34.6356632,0.0,0.0,0.0,0.0
k3s,idle,run4,0.0,0.0,0.0,0.0,5.7469205918032795,12.5529732,0.0,0.0,0.0,0.0
k3s,idle,run5,0.0,0.0,0.0,0.0,5.67206008579235,10.2882926,0.0,0.0,0.0,0.0
k3s,cp_heavy_12client,run1,0.0,0.0,0.0,0.0,72.50228823383085,491.58912,0.0,0.0,0.0,0.0
k3s,cp_heavy_12client,run2,0.0,0.0,0.0,0.0,74.32689848717948,502.11556,0.0,0.0,0.0,0.0
k3s,cp_heavy_12client,run3,0.0,0.0,0.0,0.0,73.78258015707071,567.08566,0.0,0.0,0.0,0.0
k3s,cp_heavy_12client,run4,0.0,0.0,0.0,0.0,74.38033485151514,576.61964,0.0,0.0,0.0,0.0
k3s,cp_heavy_12client,run5,0.0,0.0,0.0,0.0,74.11573667979798,559.96726,0.0,0.0,0.0,0.0
k3s,dp_redis_density,run1,0.0,0.0,0.0,0.0,20623.734837202504,30248.546,0.0,0.0,0.0,0.0
k3s,dp_redis_density,run2,0.0,0.0,0.0,0.0,22309.871755733333,30244.55,0.0,0.0,0.0,0.0
k3s,dp_redis_density,run3,0.0,0.0,0.0,0.0,22279.9260193283,30209.322,0.0,0.0,0.0,0.0
k3s,dp_redis_density,run4,0.0,0.0,0.0,0.0,22286.814142844025,30340.21,0.0,0.0,0.0,0.0
k3s,dp_redis_density,run5,0.0,0.0,0.0,0.0,22300.41699110692,30187.174,0.0,0.0,0.0,0.0
k8s,idle,run1,0.0,0.0,0.0,0.0,4.158631030054645,9.3504334,0.0,0.0,0.0,0.0
k8s,idle,run2,0.0,0.0,0.0,0.0,4.313622182777778,8.4113008,0.0,0.0,0.0,0.0
k8s,idle,run3,0.0,0.0,0.0,0.0,4.115628184444445,8.4931051,0.0,0.0,0.0,0.0
k8s,idle,run4,0.0,0.0,0.0,0.0,4.056746007650274,7.4448422,0.0,0.0,0.0,0.0
k8s,idle,run5,0.0,0.0,0.0,0.0,4.065530906666666,7.7484026,0.0,0.0,0.0,0.0
k8s,cp_heavy_12client,run1,0.0,0.0,0.0,0.0,36.51298798232323,374.37738,0.0,0.0,0.0,0.0
k8s,cp_heavy_12client,run2,0.0,0.0,0.0,0.0,35.8210255959596,336.73966,0.0,0.0,0.0,0.0
k8s,cp_heavy_12client,run3,0.0,0.0,0.0,0.0,34.684564808333334,360.21524,0.0,0.0,0.0,0.0
k8s,cp_heavy_12client,run4,0.0,0.0,0.0,0.0,35.79788526212121,330.237728,0.0,0.0,0.0,0.0
k8s,cp_heavy_12client,run5,0.0,0.0,0.0,0.0,34.47862934726368,374.72906,0.0,0.0,0.0,0.0
k8s,dp_redis_density,run1,0.0,0.0,0.0,0.0,17479.129033123947,38175.992,0.0,0.0,0.0,0.0
k8s,dp_redis_density,run2,0.0,0.0,0.0,0.0,28460.011949510692,38508.322,0.0,0.0,0.0,0.0
k8s,dp_redis_density,run3,0.0,0.0,0.0,0.0,28556.659180364557,38228.62,0.0,0.0,0.0,0.0
k8s,dp_redis_density,run4,0.0,0.0,0.0,0.0,28345.725522703146,38302.198,0.0,0.0,0.0,0.0
k8s,dp_redis_density,run5,0.0,0.0,0.0,0.0,28341.791658433332,38259.822,0.0,0.0,0.0,0.0
kubeEdge,idle,run1,0.0,0.0,0.0,0.0,8.696346825555555,21.7102348,0.0,0.0,0.0,0.0
kubeEdge,idle,run2,0.0,0.0,0.0,0.0,9.730605281666667,41.6141726,0.0,0.0,0.0,0.0
kubeEdge,idle,run3,0.0,0.0,0.0,0.0,8.895853525,17.5253801,0.0,0.0,0.0,0.0
kubeEdge,idle,run4,0.0,0.0,0.0,0.0,9.339839510555555,23.5175982,0.0,0.0,0.0,0.0
kubeEdge,idle,run5,0.0,0.0,0.0,0.0,9.534241459444445,47.7197414,0.0,0.0,0.0,0.0
kubeEdge,cp_heavy_12client,run1,0.0,0.0,0.0,0.0,21.488690718407963,192.02876,0.0,0.0,0.0,0.0
kubeEdge,cp_heavy_12client,run2,0.0,0.0,0.0,0.0,22.878142366944445,204.3423,0.0,0.0,0.0,0.0
kubeEdge,cp_heavy_12client,run3,0.0,0.0,0.0,0.0,23.66037745681159,222.650846,0.0,0.0,0.0,0.0
kubeEdge,cp_heavy_12client,run4,0.0,0.0,0.0,0.0,31.50917526779661,184.051728,0.0,0.0,0.0,0.0
kubeEdge,cp_heavy_12client,run5,0.0,0.0,0.0,0.0,34.36298476217949,203.9135,0.0,0.0,0.0,0.0
kubeEdge,dp_redis_density,run1,0.0,0.0,0.0,0.0,7817.803747223045,31854.508,0.0,0.0,0.0,0.0
kubeEdge,dp_redis_density,run2,0.0,0.0,0.0,0.0,23497.502157636056,32024.062,0.0,0.0,0.0,0.0
kubeEdge,dp_redis_density,run3,0.0,0.0,0.0,0.0,23450.093934989938,31892.784,0.0,0.0,0.0,0.0
kubeEdge,dp_redis_density,run4,0.0,0.0,0.0,0.0,23423.015812691407,31902.062,0.0,0.0,0.0,0.0
kubeEdge,dp_redis_density,run5,0.0,0.0,0.0,0.0,23254.71825752201,31867.61,0.0,0.0,0.0,0.0
openYurt,idle,run1,0.0,0.0,0.0,0.0,15.73717529722222,56.6426416,0.0,0.0,0.0,0.0
openYurt,idle,run2,0.0,0.0,0.0,0.0,14.731970122777776,28.052891,0.0,0.0,0.0,0.0
openYurt,idle,run3,0.0,0.0,0.0,0.0,14.837419945555554,29.1512322,0.0,0.0,0.0,0.0
openYurt,idle,run4,0.0,0.0,0.0,0.0,14.80376321888889,27.5309806,0.0,0.0,0.0,0.0
openYurt,idle,run5,0.0,0.0,0.0,0.0,15.692505418333333,46.3002722,0.0,0.0,0.0,0.0
openYurt,cp_heavy_12client,run1,0.0,0.0,0.0,0.0,84.47104414106279,504.74962,0.0,0.0,0.0,0.0
openYurt,cp_heavy_12client,run2,0.0,0.0,0.0,0.0,82.83624925633804,563.86672,0.0,0.0,0.0,0.0
openYurt,cp_heavy_12client,run3,0.0,0.0,0.0,0.0,86.25796317391305,538.5566,0.0,0.0,0.0,0.0
openYurt,cp_heavy_12client,run4,0.0,0.0,0.0,0.0,82.3481259342723,493.05592,0.0,0.0,0.0,0.0
openYurt,cp_heavy_12client,run5,0.0,0.0,0.0,0.0,79.56802958488889,540.20702,0.0,0.0,0.0,0.0
openYurt,dp_redis_density,run1,0.0,0.0,0.0,0.0,24264.307980405905,32783.66,0.0,0.0,0.0,0.0
openYurt,dp_redis_density,run2,0.0,0.0,0.0,0.0,24079.113181499582,32760.836,0.0,0.0,0.0,0.0
openYurt,dp_redis_density,run3,0.0,0.0,0.0,0.0,23987.840734591824,32662.69,0.0,0.0,0.0,0.0
openYurt,dp_redis_density,run4,0.0,0.0,0.0,0.0,24023.62715602131,32561.742,0.0,0.0,0.0,0.0
openYurt,dp_redis_density,run5,0.0,0.0,0.0,0.0,23984.37412666017,32639.318,0.0,0.0,0.0,0.0
