kd,test_type,role,metric,mean,std,n_runs,n_pods
k0s,cp_heavy_12client,system,cpu_pct,14.017228,0.593159,5,4
k0s,cp_heavy_12client,system,cpu_pressure,1.113449,0.074928,5,4
k0s,cp_heavy_12client,system,io_kibs,0.058480,0.086902,5,4
k0s,cp_heavy_12client,system,mem_mib,60.424822,0.449220,5,4
k0s,cp_heavy_12client,system,mem_pressure,0.000000,0.000000,5,4
k0s,cp_heavy_12client,system,mem_util_pct,9.000000,0.000000,5,4
k0s,cp_heavy_12client,system,net_kbps,7.359259,0.111277,5,2
k0s,cp_heavy_12client,system,pgfaults,4.233063,0.219035,5,4
k0s,cp_heavy_12client,system,throttled,0.000000,0.000000,5,4
k0s,cp_heavy_12client,workload,cpu_pct,0.000000,0.000000,3,4
k0s,cp_heavy_12client,workload,cpu_pressure,0.219753,0.217736,3,4
k0s,cp_heavy_12client,workload,mem_mib,0.260417,0.106070,3,4
k0s,cp_heavy_12client,workload,mem_pressure,0.000000,0.000000,3,4
k0s,cp_heavy_12client,workload,mem_util_pct,0.000000,0.000000,3,4
k0s,cp_heavy_12client,workload,net_kbps,1.587151,0.926152,3,4
k0s,cp_heavy_12client,workload,pgfaults,0.000000,0.000000,3,4
k0s,cp_heavy_12client,workload,throttled,0.000000,0.000000,3,4
k0s,dp_redis_density,system,cpu_pct,1.157927,0.122943,5,4
k0s,dp_redis_density,system,cpu_pressure,0.191925,0.160869,5,4
k0s,dp_redis_density,system,io_kibs,0.039785,0.061087,5,4
k0s,dp_redis_density,system,mem_mib,53.497245,0.282460,5,4
k0s,dp_redis_density,system,mem_pressure,0.000000,0.000000,5,4
k0s,dp_redis_density,system,mem_util_pct,8.281503,0.171519,5,4
k0s,dp_redis_density,system,net_kbps,0.663107,0.052904,5,2
k0s,dp_redis_density,system,pgfaults,0.079445,0.025360,5,4
k0s,dp_redis_density,system,throttled,0.000000,0.000000,5,4
k0s,dp_redis_density,workload,cpu_pct,206.106908,1.620455,5,1
k0s,dp_redis_density,workload,cpu_pressure,5.878702,0.163685,5,1
k0s,dp_redis_density,workload,io_kibs,-127.308079,279.392840,5,1
k0s,dp_redis_density,workload,mem_mib,161.790135,1.898800,5,1
k0s,dp_redis_density,workload,mem_pressure,0.000000,0.000000,5,1
k0s,dp_redis_density,workload,mem_util_pct,3.821581,0.087900,5,1
k0s,dp_redis_density,workload,net_kbps,196.211358,437.717692,5,1
k0s,dp_redis_density,workload,pgfaults,1.394594,2.761764,5,1
k0s,dp_redis_density,workload,throttled,0.000000,0.000000,5,1
k0s,idle,system,cpu_pct,1.521948,0.021505,5,4
k0s,idle,system,cpu_pressure,0.000000,0.000000,5,4
k0s,idle,system,io_kibs,0.000000,0.000000,5,1
k0s,idle,system,mem_mib,46.325621,0.713424,5,4
k0s,idle,system,mem_pressure,0.000000,0.000000,5,4
k0s,idle,system,mem_util_pct,8.148426,0.254054,5,4
k0s,idle,system,net_kbps,0.506123,0.021135,5,2
k0s,idle,system,pgfaults,0.065740,0.002156,5,4
k0s,idle,system,throttled,0.000000,0.000000,5,4
